date,open,close,high,low,volume,amount,code
2011-01-04,4160.47,4202.47,4202.47,4142.33,21193500,35616000000.0,sz399303
2011-01-05,4173.89,4212.07,4217.93,4170.04,20454200,34375000000.0,sz399303
2011-01-06,4210.73,4191.05,4226.15,4182.67,18719900,31703000000.0,sz399303
2011-01-07,4179.34,4157.5,4204.33,4137.42,20016300,30964000000.0,sz399303
2011-01-10,4148.8,4053.43,4157.04,4040.45,18011500,28982000000.0,sz399303
2011-01-11,4028.62,4010.17,4033.46,3973.86,15533000,24368000000.0,sz399303
2011-01-12,4025.09,4036.93,4042.19,3977.37,14599400,22534000000.0,sz399303
2011-01-13,4056.26,4042.87,4059.31,4031.23,13879400,22435000000.0,sz399303
2011-01-14,4024.14,3962.71,4024.14,3956.73,14515200,23133000000.0,sz399303
2011-01-17,3927.59,3796.25,3936.65,3786.08,16528300,25600000000.0,sz399303
2011-01-18,3776.33,3810.03,3813.61,3761.21,11414900,16725000000.0,sz399303
2011-01-19,3812.58,3898.11,3898.11,3805.51,15549700,22731000000.0,sz399303
2011-01-20,3882.98,3772.11,3889.52,3771.83,16827400,25899000000.0,sz399303
2011-01-21,3755.99,3801.14,3827.13,3745.97,16652000,25562000000.0,sz399303
2011-01-24,3802.07,3710.82,3812.58,3709.66,15283600,24250000000.0,sz399303
2011-01-25,3690.78,3636.64,3691.93,3603.83,12981400,19656000000.0,sz399303
2011-01-26,3636.15,3696.59,3698.12,3636.15,11519300,17265000000.0,sz399303
2011-01-27,3660.39,3751.98,3759.23,3652.98,15726900,23008000000.0,sz399303
2011-01-28,3744.25,3795.6,3801.35,3744.25,15032600,22440000000.0,sz399303
2011-01-31,3789.84,3846.14,3846.14,3783.14,16726100,25941000000.0,sz399303
2011-02-01,3847.32,3854.32,3860.41,3832.74,14080000,22120000000.0,sz399303
2011-02-09,3816.04,3846.13,3871.45,3816.04,15902400,24873000000.0,sz399303
2011-02-10,3840.44,3954.85,3954.85,3840.0,19639400,31551000000.0,sz399303
2011-02-11,3948.69,4000.68,4009.82,3948.69,21227000,33837000000.0,sz399303
2011-02-14,4011.06,4060.76,4064.16,4011.06,24444500,39388000000.0,sz399303
2011-02-15,4063.4,4070.09,4105.45,4051.06,26617500,42525000000.0,sz399303
2011-02-16,4061.72,4142.39,4142.39,4061.72,25420700,41812000000.0,sz399303
2011-02-17,4151.23,4162.53,4164.8,4112.27,26670300,44473000000.0,sz399303
2011-02-18,4147.51,4125.67,4162.75,4108.56,24058200,40292000000.0,sz399303
2011-02-21,4100.46,4215.44,4215.44,4100.46,26434100,44170000000.0,sz399303
2011-02-22,4221.98,4112.11,4223.57,4109.69,31331200,52428000000.0,sz399303
2011-02-23,4100.61,4169.42,4171.91,4100.61,25353300,42264000000.0,sz399303
2011-02-24,4156.35,4188.46,4191.92,4150.13,25326300,41697000000.0,sz399303
2011-02-25,4180.86,4185.61,4189.22,4139.2,22653400,37373000000.0,sz399303
2011-02-28,4187.66,4232.4,4232.4,4164.65,24491400,39931000000.0,sz399303
2011-03-01,4234.06,4246.0,4256.22,4214.33,28043200,44965000000.0,sz399303
2011-03-02,4213.89,4232.11,4237.82,4166.76,27154800,41772000000.0,sz399303
2011-03-03,4233.8,4159.72,4243.04,4151.13,27598500,42066000000.0,sz399303
2011-03-04,4161.94,4202.52,4202.52,4146.97,22255800,33706000000.0,sz399303
2011-03-07,4220.73,4241.04,4241.04,4211.97,28219000,42940000000.0,sz399303
2011-03-08,4237.07,4267.22,4267.22,4220.85,25847600,40758000000.0,sz399303
2011-03-09,4270.43,4291.0,4291.0,4255.88,27926500,46027000000.0,sz399303
2011-03-10,4279.13,4280.6,4295.51,4271.69,28317000,47534000000.0,sz399303
2011-03-11,4259.95,4285.73,4334.31,4259.95,30531000,51181000000.0,sz399303
2011-03-14,4278.62,4329.35,4329.35,4265.83,31088600,51056000000.0,sz399303
2011-03-15,4314.86,4282.08,4316.77,4200.15,33182700,53251000000.0,sz399303
2011-03-16,4282.77,4326.07,4326.07,4276.46,29959400,46506000000.0,sz399303
2011-03-17,4275.87,4246.24,4304.07,4230.56,29364200,46005000000.0,sz399303
2011-03-18,4285.6,4274.86,4287.36,4250.64,23854200,36966000000.0,sz399303
2011-03-21,4270.61,4253.66,4275.44,4237.28,22799000,36105000000.0,sz399303
2011-03-22,4261.37,4247.98,4261.37,4201.16,21417500,33408000000.0,sz399303
2011-03-23,4243.24,4298.06,4298.06,4238.01,25070500,38252000000.0,sz399303
2011-03-24,4299.71,4309.58,4318.52,4290.98,27030300,41773000000.0,sz399303
2011-03-25,4305.68,4328.16,4332.33,4303.81,29604200,45471000000.0,sz399303
2011-03-28,4339.32,4302.04,4341.63,4294.32,33044800,51100000000.0,sz399303
2011-03-29,4285.59,4222.72,4288.67,4216.87,33972900,51456000000.0,sz399303
2011-03-30,4216.94,4178.47,4222.5,4166.85,26731600,40105000000.0,sz399303
